,Region_name,Observed_indoor_richness,Observed_naturalized_richness,Projected_naturalized_richness_indoor_current,Projected_naturalized_richness_indoor_2C,Projected_naturalized_richness_indoor_4C,Projected_naturalized_richness_difference_2C,Projected_naturalized_richness_difference_4C,Projected_naturalized_richness_difference_warm_scen,Observed_harmful_indoor_richness,Observed_harmful_naturalized_richness,Projected_harmful_naturalized_richness_indoor_current,Projected_harmful_naturalized_richness_indoor_2C,Projected_harmful_naturalized_richness_indoor_4C,Projected_harmful_naturalized_richness_difference_2C,Projected_harmful_naturalized_richness_difference_4C,Projected_harmful_naturalized_richness_warm_scen,Observed_env_impact_indoor,Observed_env_impact_naturalized,Cumulative_env_SWIS_indoor_current,Cumulative_env_SWIS_indoor_2C,Cumulative_env_SWIS_indoor_4C,Projected_env_SWIS_difference_2C,Projected_env_SWIS_difference_4C,Projected_env_SWIS_difference_warm_scen,Observed_soc_impact_indoor,Observed_soc_impact_naturalized,Cumulative_soc_SWIS_indoor_current,Cumulative_soc_SWIS_indoor_2C,Cumulative_soc_SWIS_indoor_4C,Projected_soc_SWIS_difference_2C,Projected_soc_SWIS_difference_4C,Projected_soc_SWIS_difference_warm_scen
52,Belarus,1,NA,0.001769558,0.002240222,0.005809953,0.000470663,0.004040394,0.003569731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,Caldas,NA,6,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA
54,California,2,24,0.793351953,0.797769552,0.806648715,0.004417598,0.013296762,0.008879164,NA,10,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA
55,Cambodia,NA,5,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA
56,Cameroon,NA,9,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA
57,Campeche,NA,7,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA
58,Cape Verde archipelago,NA,12,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA
59,Caqueta,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
60,Casanare,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
61,Catamarca,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
62,Cauca,NA,12,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA
63,Cayman Islands,NA,7,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA
64,Ceara,NA,6,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA
65,Central African Republic,NA,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA
66,Cesar,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
