Country_global,Report_ava,Country_global_modified,Notes,Report_num,language,threat,IAS_list,Existing_mgmt,intro,research,outreach,reactive,proactive,Checked against shape 27th July 2015,Report checked April 2016
United States,NA,United States,,NA,English,1,1,1,1,1,1,3,3,yes,
Uruguay,Uruguay,Uruguay,,4th,Spanish,1,1,0.5,0,1,0,2.5,1,yes,
USNB Guantanamo Bay,,USNB Guantanamo Bay,,,,,,,,,,,,,
Uzbekistan,,Uzbekistan,,,,,,,,,,,,,
Vanuatu,,Vanuatu,,,,,,,,,,,,,
Vatican,,Vatican,,,,,,,,,,,,,
Venezuela,Venezuela,Venezuela,,4th,Spanish,1,1,0.5,0,1,0,2.5,1,yes,
Vietnam,Vietnam,Vietnam,,4th,English,1,0.5,0,0,1,0,1.5,1,yes,
W. Sahara,,Western Sahara,,,,,,,,,,,,,
Wallis and Futuna Is.,,Wallis and Futuna,,,,,,,,,,,,,
Yemen,Yemen,Yemen,,4th,English,1,0,0.5,0,0,1,1.5,1,yes,yes
Zambia,Zambia,Zambia,,4th,English,1,0.5,0.5,0,0,0,2,0,yes,yes
Zimbabwe,Zimbabwe,Zimbabwe,,4th,English,1,1,0.5,0.5,0,0,2.5,0.5,yes,yes
